"","x 1","x 2","S 1","S 2","S 3","S 4","Z","Solution","TR"
"S 1",1,0,-0.148148148148148,0.203703703703704,0,0,0,4.88888888888889,-1
"S 2",0,0,-0.185185185185185,0.12962962962963,0,1,0,2.11111111111111,2.11111111111111
"S 3",0,0,0.148148148148148,-0.203703703703704,1,0,0,4.11111111111111,4.72727272727273
"S 4",0,1,0.185185185185185,-0.12962962962963,0,0,0,3.88888888888889,6
"Z",0,0,10.1851851851852,7.87037037037037,0,0,1,1413.88888888889,-21.1764705882353
